Cleantext,Target
frequent ltg level monitoring by patient q during the weeks after delivery suggests a return of ltg kinetics to baseline within  weeks after delivery,0
the umbilical cord venous  maternal figure  or arterial  venous drug concentration ratios did not vary as a function of time between dosing and sample collection n   for observations for which both arterial and venous umbilical concentrations were availablearterial umbilical cord blood concentrations of tacrolimus were    of venous concentrations range ,1
a favourable clinical response was observed in all cases and recovery was not accompanied by premature labour,0
the difference between the groups is significant x   p ,0
in response to the guidelines released by the cdc in  it is estimated that approximately  million pregnant women will receive intrapartum antibiotics assuming  million women give birth annually in the united states,0
all samples were placed in heparinized tubes centrifuged and stored at  c until used in the experiment,0
supplementary material refer to web version on pubmed central for supplementary material,0
t,0
cefatrizine serum concentrations mean  sd gml in  female volunteers circles and  women on the rd week of gestation squares after the administration of the third oral dose of  g cefatrizine every  h,1
ciprofloxacin pefloxacin and ofloxacin are all highly concentrated in breast milk of lactating women with ratios exceeding  percent of the simultaneous expected serum levels only two hours after drug administration when considering the minimal inhibitory concentrations of the newer quinolones against the various gramnegative species  it can be assumed that for serious infections in pregnancy caused by enterobacteriaceae ciprofloxacin pefloxacin or ofloxacin will provide adequate antibacterial activity in the amniotic fluid except perhaps for pseudomonas aeruginosa and streptococci ,1
in the second group the clearance was significantly decreased i mlmnkg when compared with the first group  mlminkg,1
darunavirritonavirtwo nrtis was used by nine  of the patients on  mg of darunavirritonavir once daily and by one patient on  mg of darunavirritonavir twice daily,1
it has a broad antiepileptic spectrum and is reported to be very effective in patients with strong drug resistance,0
c g,0
future studies should evaluate whether the clearance of oseltamivir carboxylate differs by trimester,1
our findings parallel the time course data for sertraline altshuler et al  stowe et al  and are similar to the results from the only published study of the excretion pattern of fluoxetinenorfluoxetine in breast milk which demonstrated peak concentrations occurring within  hours postdose taddio et al ,1
there was a tendency for the concentration of r and s noruoxetine to increase and for the r form the  h  cord ratio of    was signicantly greater than ,1
the trough plasma concentrations of citalopram in this woman were  nmoll and  nmoll at postpartum days  and  respectively,1
acknowledgement,0
clinically with sufcient observation of clinical symptoms and monitoring of the concentrations of drugs in blood particularly the concentrations of free drugs it seems possible for the mother to continue breastfeeding,0
casele hl laifer sa woelkers da venkataramanan r thromboembolism prophylaxis during pregnancy,0
these authors reported plasma primidonederived phenobarbitone and pema concentrations in  patients whose blood samples were available before during and after pregnancy,0
when the true geometric mean of the ratio the antilog of the true mean of the log ratios of the pharmacokinetic exposure parameters for pregnant and nonpregnant conditions has a value of  this indicates equal geometric mean pharmacokinetic exposure parameters for the pregnant and nonpregnant conditions,0
elimination from the serum compartment was assumed to follow rstorder kinetics,0
the mean age was  years and group means vaginal vaginal moist buccal rectal for participant characteristics were    and  years mean body mass index was  m kg    and  mean parity was      and mean gestational duration was  days    ,1
for the  mg oncedaily regimen one patient  had documented darunavir concentrations  mgl ec for resistant virus but  mgl ec for wt virus in the third trimester,1
fax   ,0
propranolol nmet rnl   n     ,0
given the unique pharmacologic properties of the drug eg extremely low plasma protein binding  rapid distribution into body tissues we hypothesized that the pharmacokinetic parameters of metronidazole would differ during middle and late pregnancy as compared with the nonpregnant state because of increases in mean plasma volume by  to  l toward the third trimester ,1
foster and coworkers found in a previous study with the same dose mean peak serum concentrations of    ngml in nonpregnant healthy subjects,1
statistics data were expressed as mean  sd or se andor as median gures,0
to distinguish between these activities midazolam would have to be administered both orally and  average digoxin plasma concentrationtime profiles pregnancy postpartum digoxinconcngml                 time postdose h figure  mean digoxin plasma concentrationtime profiles during pregnancy and postpartum,1
the changes seen in both of these drug interaction studies suggest that the largest effects occurred in the intestine,0
after parenteral administration  of the mecillinam was excreted unchanged in subjects  weeks pregnant  in subjects  weeks pregnant and  in nonpregnant women in the urine within  h,1
an antecubital vein was punctured simultaneously to obtain maternal blood at the time of fetal uid or blood aspiration,0
each patient ingested three paracetamol tablets  g winthrop laboratories with water  ml,1
in a previous study of nifedipine for preterm labor tocolysis n cypa genotype high expressers had higher exposure to nifedipine than did low expressers however firm conclusions of cypa effect in that study were limited due to the presence of several women in both groups who were receiving cypa inhibitors,0
two other patients declined further blood tests after the control sample had been taken,0
in one study of women with pcos metformin table  maternal and umbilical cord plasma metformin concentrations in eight parturients with pcos parameter median minimum and maximum maternal plasma mgl   umbilical cord plasma mgl   umbilicalmaternal   data are expressed as the median with the minimum and maximum values given in parenthesis eur j clin pharmacol    concentrations in both the umbilical vein  mgl and the umbilical artery  mgl were found to be higher than those in maternal venous blood  mgl indicating that the fetus is exposed to higher concentrations than the mothers ,1
numerous attempts were made to improve the absorption of vaginal misoprostol,0
venous blood samples  ml were collected from the cannula into heparinised tubes at    ses were carried out on a system comprising a gbc model lc  autosampler waters a solvent delivery   and  h post dose and by venepuncture at  and  h,0
recovery of ampicillin in urine during  hr was identical during pregnancy and after,1
ltg and oxc are almost completely absorbed after oral administration which is unlikely to change during a b figure ,0
braun jennifer bryant elizabeth hawkins kathleen a,0
midazolam when given immediately before caesmean section can result in depression of the infant,0
table  tinidazole kinetics in the mothers iv dose t ke vd cl patient mglkg h h lkg ml kg h r r                                              different approach may be taken ifone considers how large a fraction of the maternal body content of drug that will be transferred daily to the infant at a given milk secretion rate,1
the plasma concentration of cortisol rises considerably as pregnancy proceeds,1
all ltg concentrations were measured at regions hospital st,0
another  mg nifedipine retard tablet was administered  minutes after the last nifedipine capsule was given t   min,1
with  units of buccal pitocin given every  minutes in four adult males plasma ot was detectable in only  of  samples  after up to  hours of administration of pitocin,0
the presence of mainly odv in the infants plasma indicates that all had signicant capacity to metabolize the v that comprised approximately  of the drug they ingested,1
the unbound fraction of darunavir was not different during pregnancy  compared with postpartum ,1
also the conclusion was that  mg of darunavirritonavir twice daily results in better exposure during pregnancy and can be suggested curran et al presented the total and unbound darunavir aucs during pregnancy and postpartum of ve patients taking  mg of darunavirritonavir once daily,1
this would scarcely be either practicable or clinically justifiable,0
the  is the functional allele,0
table ,0
they observed that the ratio was near one after  h,0
auc values were higher p in the diabetics group when compared to the nondiabetics group  vs  ng hml for the srlabetalol and tablekineticdispositionofunchangedlabetalolandlabetalolglucuronidestereoisomersafteroraladministrationn pharmacokinetic parameters srlabetalolsslabetalolrrlabetalolrslabetalol nondiabeticsndiabeticsnnondiabeticsndiabeticsnnondiabeticsndiabeticsnnondiabeticsndiabeticsn unchangedlabetalol cmaxngmlc c a  tmaxhc a  th vdflkgc b a  auc nghmlc a a  clflhkgc a a  labetalolglucuronide cmaxngmld d b b e  tmaxh auc nghmld d b b  conjugationcd c e e  dataaregivenasthemedianwiththeciinparenthesis mannwhitneytestpfilledtrianglenondiabeticsvsdiabetics friedmantestpa ssvsrrb ssvsrsc srvsrrd srvssse rrvsrs eur j clin pharmacol     vs  ng hml for the sslabetalol fig ,1
lpvr pharmacokinetic parameters are presented in table ,1
further vancomycin infusions were discontinued as soon as red man syndrome was experienced,0
furthermore variation in equilibrium ratio may be due to differences in serum protein concentration andor ph gradient across the placenta hull  reynolds and knott ,0
the pk model in neonates was based on the following assumptions i cefazolin concentrations in cord and fetal blood are at equilibrium ie initial concentration in neonates  concentration in cord blood at delivery ii the initial concentration in neonates declines in a singleexponential pattern after birth ie onecompartment model iii the bloodtoplasma ratio is ,1
j who also had the highest elevation of blood pressure throughout the infusion period,0
pharmacokinetic targets were the estimated th percentile atazanavir auc  mcghrml in nonpregnant historical controls taking the standard dose mean auc mcghrml and a trough concentration of  mcgml the concentration target used in therapeutic drug monitoring programs,1
distribution or copying in any form requires the prior express written consent of the copyright owner and payment of royalties,0
dl is leader of the benelux netherlands branch of the eurap study which is cosponsored by gsk,0
the systemic absorption of morphine after intrathecal administration is slower than after epidural administration ,0
epidemiologic studies of hundreds of women exposed to offlabel use of uoxetine during pregnancy have indicated that uoxetine does not increase the rate of major fetal malformations nulman et al reported that the neurocognitive development and language skills of children who were between the ages of  and  months and who had been exposed in utero for varying lengths of time to uoxetine were found to be similar to those of control subjects not exposed to psychotropic medication,1
nihpaauthormanuscriptnihpaauthormanuscriptnihpaauthormanuscript use of a ritonavir boosted regimen saquinavir  mgritonavir  mg once daily were reduced during pregnancy compared to nonpregnant women but adequate saquinavir trough concentrations were achieved in  of pregnant subjects we have previously shown that lopinavir auc is reduced by  when administered during the third trimester as capsules at standard dosing lopinavir  mgritonavir  mg twice daily and that administration during the third trimester of an increased dose as either capsules lopinavir  mgritonavir  mg twice daily or tablets lopinavir  mgritonavir  mg twice daily results in lopinavir auc equivalent to that seen in nonpregnant adults with standard dosing  similarly several studies have shown that nelfinavir auc and cmin are reduced during pregnancy and an increased dose of nelfinavir in pregnancy is currently under study   two previous studies are available that describe atazanavir pharmacokinetics in pregnant women,1
phenobarbital treated pregnant patients nonpregnant pregnant patients    controls                                                             tlll p h aue h omol ml v central compartment i v peripheral compartment  distribution volume  steady state serum distribution coefficient likg table  kinetic parameters of propranolol on phenobarbital treated pregnant patients,1
corresponding author mark mirochnick md boston medical center  albany street dowling n  room  boston ma  markmbuedu telephone  fax ,0
there was a trend toward higher maternal plasma acyclovir concentrations in patients who received valacyclovir than in those who received acyclovir    gml vs    gml p   and umbilical vein plasma acyclovir concentrations were significantly higher in valacyclovir recipients    gml vs    gml p  ,1
the vaginal route of administration was more potent than the oral route in medical abortion ,0
as a service to our customers we are providing this early version of the manuscript,0
this represents a generous estimate of milk secretion compared with those cited in a recent review  from table i it is clear that this approximation results in very low percentages of drug being excreted in the mothers milk,1
author manuscript available in pmc  may ,0
intrapartum contact of the fetus with an infected maternal genital tract accounts for approximately  of all cases of neonatal herpes,0
women agteeing to participate were enrolled after they gave informed consent,0
it can be a primary secondary suppression and eradicating one,0
when the subject was ready to receive the misoprostol she was allocated to a treatment arm by opening the next available envelope in the sequence,0
am j clin nutrit     nulman i koren g,0
diabetic medicine    pregnancy and metformin pharmacokinetics  r,0
all patients received a standard workup which included a medical history and biochemical and hematological examinations,0
milkplasma concentration ratios of theobromine determined from right r and left l breast milk,1
charles et al  reported a metformin maternal oral bioavailability of  in women with type diabetes mellitus or gestational diabetes during late pregnancy,1
pairs with undetectable maternal concentrations were excluded from placental passage analysis as maternal compliance could not be confirmed and an ucms ratio could not be estimated,1
it is believed to exert its anticonvulsant effect by stabilizing presynaptic neuronal membranes however the mechanisms by which lamotrigine exerts its therapeutic action in bipolar disorder or depression have not been established,0
values are presented as median range,0
overall the eld has only led to a few therapies with clear pharmacogenetic implications,0
additionally cbz and free cbzepo fractions were compared between nonpregnant baseline and each trimester and between each trimester using singlefactor analysis of variance anova ,0
thirtyeight women were evaluable and their lopinavir and ritonavir pharmacokinetic parameters are presented in table ,1
when the covariate pregnancy was applied to clearance there was a signicant improvement in the base model for both treatments,0
the altered binding of drugs during pregnancy has been reported for diazepam and salicylate ,0
r metabolic clearance rate of oxytocin   t results a  c fig ,0
once a patient was judged to be suitable for inclusion into the protocol written informed consent was obtained and she was randomly allocated to one of the three groups,0
a,0
in view of the complex nature of the coagulation system which consists of a cascade of sequential reactions that are activated by products of preceding reactions and that are subject to feedback control and because of the covariation of several of the physiologic variables quantified in this investigation definitive mechanistic interpretations of the associations listed in table ii are not possible,0
one participant in the buccal group and  in the rectal group did not experience an increase in tone until after  hours,0
the hepatic metabolism of uoxetine to noruoxetine the primary metabolite is catalyzed by cypd and cypcc  ,1
total urine produced was collected and recorded at each interval with cc being aliquoted into two separate cc conical tubes,0
assay,0
finally the elevated maternal t values can be attributed to a mechanism of redistribution of the drug between the two compartments mother and fetus  amniotic fluid and to a substantial increase of the apparent volume of distribution vd in relation to the predictable increase of drug clearance,1
an agilent  series hplc system was interfaced with the sciex api tandem quadruple mass spectrometer with a positive electrospray ionization esi source,0
results mean oxytocin levels and metabolic clearance rates were  pgml and  mlmin,1
the renal clearance of most drugs increase  during pregnancy anderson ,1
there are several possible explanations for this discrepancy,0
milk concentrations the mean uoxetine and noruoxetine concentrations in the breast milk were relatively low table ii,1
b,0
carvalho  ricardo de carvalho cavalli  srgio p,0
for both methods the infant dose time h               b a                 fluoxetinegl norfluoxetinegl  was then expressed as a percentage of the maternal figure  plasma  and milk  concentrationtime proles weightnormalized dose intensive sampling protocol for uoxetine a and noruoxetine b in four volunteers over a  h dose interval commencing  h at steadystate,1
data analysis data have been summarized as mean  ci or range or median th and th percentiles as appropriate,0
this report includes only women receiving lpvrtv capsules at the increased dose of  capsules twice daily,1
it is also important to know whether antiretrovirals cross the placenta since this has implications for preventing hiv transmission and for potential fetal effects,0
the first two studies by blom factor xa levels were obtained only at     and  hours back et al and pettila et al  also did not evaluate women after injection whereas ten postdose levels were collected in with aps exclusively our study leading to a more accurate assessment ofaug,0
at a daily dose of metoprolol of  mg the mean plasma concentration is about  ngml at steady state in most cases,1
however some studies have been performed evaluating the effects of lactation on ethanol kinetics,0
the residues were taken up in ml of the mobile phase and  ml was submitted to chromatographic analysis,0
burchett md david e,0
downloaded from wwwthrombosisonlinecom on   id   ip  norris et al lmwh in pregnancy mean hour antixa levels in patients receiving tinzaparin during pregnancy figure  shows the hour peak antixa levels obtained during pregnancy for each dose group,1
treatment of pregnant women with asthma is a common medical problem because the incidence of asthma in pregnancy is approximately  to  theophylline is often prescribed for pregnant women with asthma and has been found to present no special hazards for the pregnant patient however there have been only two prior studies of theophylline pharmacokinetics in pregnancy and comparison ofthe results of these studies with literature values for nonpregnant patients has led to conflicting conclusions about the effects ofpregnancy on theophylline elimination clearance and t the present investigation was designed to resolve this ambiguity by basing comparisons on the results of serial kinetic studies that were made in each patient during and after pregnancy,0
there was a modest correlation between midazolam fraction unbound and serum albumin concentration r data not shown,0
further pharmacokinetic investigations should account for these factors,0
the activity of coagulation factors was determined by onestage clotting assays with substrate plasmas deficient in the respective coagulation factor american dade either actinactivated cephaloplastin reagent or activated thromboplastin reagent both american dade and a fibrometer coagulation timer,0
kelly danny d,0
author manuscript available in pmc  october ,0
a control group of  women who were not taking psychotropic medication were prospectively matched for confounding obstetric characteristics at the time of delivery,1
most patients fig  cesd scores during pregnancy a cesd cutoff score of  is indicative of bsignificant or bmild depressive symptomatology whereas higher scores indicate greater symptoms eur j clin pharmacol    had therapeutic levels of clomipramine summed with desmethylclomipramine during pregnancy however three did not reach that level during the whole pregnancy,1
in conclusion particularly with short duration of surgery intrathecal mepivacaine in combination with fentanyl offers a clinical alternative in parturients undergoing elective cesarean delivery,0
the output consisted of a probability distribution a cumulative probability distribution and specic condence intervals over userdened mic and faucmic ranges  muller et al,0
a normal serum creatinine level hour urinary protein concentration and creatinine clearance were required before participation,0
however there have been reports that the use of these drugs during pregnancy can increase the incidence of adverse pregnancy and postnatal outcomes ,0
invasive methods of measuring gastric emptying such as radiology and scintigraphy are ethically unacceptable in pregnancy,0
in man this slower phase of distribution lasts from  min up to  h depending on the compound ,0
approximately one tenth of the adult therapeutic dose of fluoxetine is excreted in breast milk,1
objective to investigate the efficacy of a single dose preoperative administration of ceftriaxone and cefazolin in the prevention of intra and postoperative infections in the parturients without high risk of inflammation,0
of the  women excluded  had hemoglobin levels of  gdl  women were excluded because their hiv status did not t the sampling schedule  woman was febrile and had a positive blood smear result and  women refused to participate,1
with intravenous oxytocin the estimated apparent halflife in the human being ranges from  to  minutes  but using constant infusion rates of oxytocin of either  or  mlj per minute and achieving steadystate concentrations we calculated an average halflife of  ,0
the peak plasma codeine level was  ngml after which the concentration declined monoexponentially with a plasma t of  hr,1
women receiving  u n   attained cutaneous administration of heparin the bioavailability is as mean antifactor xa activity ofgreater than  uml during sumed and not calculated,0
the ci for the auc ratio fell completely outside the limits of   showing that third trimester and postpartum auc values were different,1
auc for milk and serum were  and  nmol l  h respectively giving an ms the absolute daily dose of citalopram ingested by the infant ratio of ,1
m induction of labour,0
following oropharyngeal administration the respective values were  ngml  min and k ng ml i  hr mean  sd,0
mean sd weights during the both heparins before and during pregnancy in patients with four sampling periods were    kg    kg aps,0
richmond and c,0
the same dose regimen for intravenous aminophylline has been advocated for pregnant patients although the pharmacokinetics of aminophylline following intravenous bolus infusion has not been determined in pregnant women,1
no correlation between lower cbz levels during pregnancy and worsened seizure control has been identified,0
most north american studies have not shown this association ,0
in sweden it is a therapeutic tradition to combine metoprolol with hydralazine in hypertensive pregnant women,0
we have selected and tested several genetic polymorphisms in order to explain this placental transfer,0
geometric mean ratios of third trimester vs postpartum  condence interval ci were   for tdf area under the curve auc h   for tdf cmax and    for tdf c h and   for ftc auc h and   for ftc cmax and   for ftc c h,1
it is interesting to note that clonidine renal clearance in pregnancy    mlmin was not significantly different from that seen in the nonpregnant population    mlmin p   fujimura et al  male n    years  kg gas chromatographymass spectrometry and gas chromatographyelectron capture detection assays,1
oral and rectal misoprostol auc were not signicantly different from one another,1
pediatrics   j con pharmacol  excretion of fluoxetine and its metabolite norfluoxetine in human breast milk anna taddio bscpharm msc shinya ito md and gideon koren md a study was conducted to measure breast milk concentrations offiuoxetine and its active metabolite norfluoxetine excreted in breast milk in a cohort of nursing women using fluoxetine and to estimate infant dose from nursing,1
in  patients the daily dosage was increased during the treatment period in to  mgdayand in to   mgday,1
ch and other pharmacokinetic parameters were quite variable and their variability increased from second to third trimester and into the postpartum period,1
human reproduction vol no pp   pharmacokinetics of different routes of administration of misoprostol oi shan tang horst schweer hwseyberth sharon whlee and pak chung ho department of obstetrics and gynaecology the university of hong kong queen mary hospital hong kong sar china and department of pediatrics philipps university marburg deutschhausstr germany to whom correspondence should be addressed at f professorial block department of obstetrics and gynaecology the university of hong kong queen mary hospital  pokfulam road hong kong sar china,0
there was a weak inverse correlation of nifedipine exposure and changes in bp systolic r   p   diastolic r   p  ,0
notably the uterine placental and umbilical blood flows increase exponentially during pregnancy,0
the present pharmacokinetic study has shown that the absorption of vaginal misoprostol actually became less efcient with time,0
plasma halflife calculated from this concentrationetime curve was approximately  min,1
discussion metoprolol is considered a model cypd substrate as this enzyme mediates  of its metabolism and almost all its hydroxylation,1
from  patients  receivingdiazepamand  receiving oxazepam additional blood sampleswere drawn at  h  h h  h  h and h,1
in the following text baseline values are defined by the calculated cdratio in samples drawn from the subjects in a nonpregnant state,0
pharmacokinetic and statistical analysis the sample size calculation was based on the assumption that a  difference in the magnitude of the pharmacokinetic parameters between pregnant and nonpregnant patients would be of clinical signicance and that vf and clf would increase with pregnancy,1
maternal and cord blood levels of indomethacin at the time of delivery from ve motherchild pairs are reported in fig ,1
in table  the pk parameter estimates including the values on interindividual and residual variability of the table  parameter estimates of the nal population pk model for paracetamol and its metabolites in women at delivery and postpartum where differences in parameters between the groups were estimated as a fraction of the parameter at deliveryand the stability of the parameters using the bootstrap validation parameter mean cv  at delivery mean cv  postpartum bootstrap cv  fixed effects clpg l h            and   clps l h     clpu l h singleton           and   clpu l h twin           and   clpo l h           and   v l           and   v l     q l h      mf     interindividual variability w clpg     w clpu     w v     residual error s p plasma     s pg urine     s ps urine     s p urine     performance measures ll    values in parentheses are cv coefcient of variation of the parameter values ll objective function clpg clearance to paracetamolglucuronide clpo clearance to paracetamoloxidative metabolites clps clearance to paracetamolsulphate clpu clearance of paracetamolunchanged for twin or singleton mf multiplication factor for k and k compared with k p paracetamol pg paracetamol glucuronide ps paracetamol sulphate q intercompartmental clearance between central and peripheral volume v central volume v peripheral volume s  proportional intraindividual variance w  interindividual variance the square root of the exponential variance of h minus  which is the percentage of interindividual variability in the parameters,1
it permits accurate delineation of phenytoin kinetics without compromising continuity of therapy and seizure control and does not expose mothers or offspring to radioactivity,0
conclusions steadystate plasma nifedipine concentrations after repeated dosing with nifedipine gits  mgday in pregnant women with preterm labour do not exceed  microgramsl fetal levels are  of maternal levels,1
table i,0
resultsmedian raltegravir auc was  ghrml for second trimester n   ghrml for third trimester n and  ghrml postpartum n  p pp vs nd trimester p pp vs third trimester,1
we suggest therefore that free drug concentrations be monitored during pregnancy and that adjustments in the patients dose be made on the basis of the patients clinical condition seizure frequency and free anticonvulsant concentration,0
pharmacokinetics of paracetamol and its metabolites in women at delivery and postpartum aida kulo mariska y,0
compartment  is attached to compartment  and the antibiotics in compartment  are transferred back to compartment  and eliminated from the system,0
it should be emphasized that these values are rough estimates of the elimination rate for uoxetine because only  time points could be used to calculate the halflife in all but  infants,0
table  indicates the mean pharmacokinetic parameters of tobramycin in each group of patients,1
ybadonnel and mrs,0
misoprostol was released at a constant rate that was directly proportional to the dose reservoir,0
renbarger md ms mary f,0
one showed a decrease in atazanavir exposure during pregnancy when compared to postpartum and the other did not  although coadministration of tenofovir and atazanavir is common and has been shown to result in a roughly  reduction in plasma atazanavir concentrations in nonpregnant adults no data are available describing atazanavir exposure during pregnancy when used in combination with tenofovir the goal of this study was to describe atazanavir pharmacokinetics during pregnancy both with and without concomitant tenofovir use,1
in breastfed infants the calculated mean total dose ofinfant exposure of  ,1
atazanavir plus lowdose ritonavir in pregnancy ripamonti et al  copyright  lippincott williams  wilkins,0
we also determined the following socioeconomic variables on index date from the ramqisq databases maternal age region of residence urban vs rural dwellers maternal marital status living alone vs cohabiting and ramq insurance status welfare beneficiary vs adherent,0
similar changes in these pharmacokinetic values have been described for pethidine a high extraction ratio drug given to patients in labour and these were attributed to alterations in cardiovascular function midazolam since it is highly protein bound will be markedly affected by alterations in plasma protein binding,1
other biological characteristics of coelomic uid may inuence the pharmacokinetics of the drug and in particular the lower ph  compared with that of maternal peripheral venous blood or fetal blood may inuence the  distribution of basic drugs such as fentanyl,0
in our study the highest estimated level of excretion was for caffeine  of dose while all other estimated drug amounts in hr milk secretions were less than  of the dose,1
as reported in table  assuming that umbilical cord values were representative of neonatal drug concentrations at birth individual blood concentrations of betaxolol ranged from  i to  ng ml ,1
therefore  subjects in each group gave  power in detecting a difference of  pghml in auc at  level of signicance,0
roberts j,0
renbarger  a pilot study of the impact of genotype on nifedipine pharmacokinetics when used as a tocolytic the journal of maternalfetal  neonatal medicine   doi  to link to this article httpsdoiorg published online  jun ,0
whether a comparable difference occurs in the human figure  the relationship between the maternal  infant serum concentration ratios for the sum of ruoxetine rfx suoxetine sfx and snoruoxetine snfx and postnatal age               imfxsnfxratio postnatal age months y  x r   fluoxetine stereoselective disposition during pregnancy and breastfeeding br j clin pharmacol   foetus and neonate has not yet been determined,0
cefazolin concentration levels in cord plasma,1
whenever possible urine was collected up to  h in a urine gamedbag and the volume was recorded,0
the relationship between atosiban infusion and uterine activity was also assessed,0
in figure  individual auctau and cc results during pregnancy and postpartum are depicted,1
care was taken to avoid contamination by maternal blood,0
following a single dose of oral administration plasma misoprostol levels increased rapidly and peaked at about  min,1
finding the balance between fetal exposure to antiepileptic drugs aeds and maternal and fetal risks of seizures is a challenge in the management of women with epilepsy,0
this effect can make interpretaepilepsia vol  no   antiepileptic drug levels in pregnancy table ,0
d        ho c,0
nihpaauthormanuscriptnihpaauthormanuscriptnihpaauthormanuscript motivation in pregnancy and nonpharmacologic interventions a significant number of pregnant women    fail to achieve this goal and could benefit from the use of pharmacotherapy ,0
this nding remained signicant even when all smokers were excluded from the analysis,0
changes in enoxaparin pharmacokinetics during pregnancy and implications for antithrombotic therapeutic strategy,0
ltg remained at a higher dose after pregnancy as there were no side effects and patient felt better on this dose,0
moreover the calculated unbound tacrolimus trough concentrations in blood were on average  higher during midlatepregnancy than postpartum,1
apv gls mean ratio  ci of fetal cord to maternal peripheral plasma concentration was   ,1
it was observed that it would dissolve within  min,0
in humans oct plays an important role in metformin renal clearance,0
the increased clearance of the drug in pregnant subjects compared with nonpregnant subjects may not mean that a higher maternal dose should be given,1
a drawback of the use of misoprostol in many situations in obstetrics and gynaecology is the very short terminal halflife of  min product information,1
a bootstrap procedure using perl speaks nonmem psn httppsn sourceforgenet was used to sample individuals from the original data set with replacement and to generate  new data sets that were subsequently analyzed using nonmem,0
continuous variables are summarized as mean standard deviation sd and range,0
the misoprostolalone regimen is inferior to the combined mifepristonemisoprostol regimen which is the method of choice whenever mifepristone is available,0
v,0
jusko buffalo ny software,0
there were no adverse outcomes reported in  exposures to escitalopram that were part of a larger prospective database study from motherisk excluded from this current study similarly the swedish medical birth register reported no adverse outcomes among  exposed infants the objectives of this study were fold  to determine whether the use of escitalopram during pregnancy is associated with an increased risk for major malformations above the baseline of  to   to determine the rates of spontaneous abortions therapeutic abortions stillbirths and mean birth weight and gestational age at delivery and  to determine if the neonate required admission to the neonatal intensive care unit nicu,0
the study protocol was approved by the joint committee of ethics of the university of turku and the university central hospital of turku and all the participants gave informed consent before entering the study,0
furthermore we did not nd any correlation between uoxetine and noruoxetine mp concentration ratio and breast milk fat content which might be expected on the basis of the high lipid solubility of these compounds however uoxetine and noruoxetine are highly bound to plasma proteins  which might restrict the distribution of these compounds to the breast milk,1
however when expressed as a fraction of total paracetamol clearance figure clearance to paracetamol glucuronide was higher at delivery compared with postpartum at the cost of a lower fraction for clearance to paracetamol sulphate and a similar fraction for clearance of unchanged paracetamolwhile for clearance to potentially hepatotoxic oxidative metabolites the fraction of total paracetamol clearance was also similar between women at delivery and postpartum the higher absolute value for clearance to those metabolites could imply that their higher amounts are produced at delivery,1
n engl j betweenbreast variation in selected components of human med    milk,0
the current study supports previous findings of a shorter halflife and lower concentrations for nifedipine in pregnancy nonpregnant subjects have a reported halflife of  hours or more the halflife in the current study was under  hours,1
j,0
however one review involving  patients who took either cephaloridine cephalothin or cephalexin and who had no history of prior penicillin allergy had a rate of anaphylaxis of two per  there have been several articles on the crossallergenicity between penicillins and cephalosporins,0
our results indicate that the pharmacokinetics of mecillinam change during pregnancy but these changes are apparently not of clinical importance,1
drug concentrations in infant urine and plasma were determined to provide a direct measurement of infant drug exposure,1
it is known that the plasma protein binding of phenytoin is slightly decreased in later human pregnancy free fraction    as compared with the normal value of    perucca et al ,1
the manuscript will undergo copyediting typesetting and review of the resulting proof before it is published in its final citable form,0
changes may also occur in the pharmacokinetics of meoquine when it is coadministered with artesunate with higher meoquine concentrations in patients receiving only meoquine than in those treated with meoquineartesunate artesunate was rapidly hydrolysed into its active metabolite with t values in the pregnant and nonpregnant women of  h and  h respectively a nding that is consistent with previous published data  the total drug exposure to artesunate was signicantly higher in the pregnant women compared with the nonpregnant women a consequence of a reduced elimination clearance,1
clark  m,0
similarly in a sequential study of women with recurrent fetal loss treated with  units of dalteparin significantly higher antixa activity was found post partum compared with   and  weeks gestation ,1
simulations,0
ritchie phd,0
only one of the prospective studies of reasonably large patient sample size bardy otani gjerde et al yerby et al included determination of free pht and cbz concentrations as well as that of cbz metabolites yerby et al ,0
a et alet al  paroxetine in human milkparoxetine in human milk,0
concentrations of indinavir and saquinavir were inadequate when administered without ritonavir during pregnancy as were concentrations of ritonavir administered as a single protease inhibitor ,0
transplacental lpv and rtv levels,0
the appropriate doses of acyclovir and valacyclovir for use during human pregnancy have not been established,0
the patients physician was responsible for toxicity management,0
voskuyl medical centre haaglanden department of obstetrics and gynecology lijnbaan  the hague  va the netherlands  medical centre haaglanden department of clinical microbiology lijnbaan  the hague  va the netherlands  lapp consultants bv archimedesweg  leiden  cm the netherlands  leidenamsterdam center for drug research division of pharmacology leiden university po,0
heparin was added to blood as an anticoagulant liquemine  iu roche,0
in both patient groups the amniotic fluid acyclovir concentrations were higher than the corresponding maternal plasma acyclovir concentrations,1
samples were reconstituted in toluene rather than hexane,0
patients were instructed to crush the capsule between their teeth to facilitate sublingual absorption,0
their respective halflives t are i to  and  to  days the united states food and drug administration fda recently advised the pharmaceutical company to include a statement on the label that discourages its use in nursing women,1
cmax ranged from  ug ml in the control group to  ug ml in the top group ns table ii rcmax was  e  cd  i  c cd u c o u   o u   s       time min    fig ,1
the detection limit of the latter assays was  ugml,0
first we demonstrated that oral amoxicillin serum areas under the concentration time curve aucs and peak concentrations are signicantly lower during both the second and the third trimesters of pregnancy than postpartum,1
published by elsevier science inc,0
use of the monographs on drugs,0
reasons for not completing all tests were preterm birth one patient in the thirtyseventh week of pregnancy no babysitter and moving to another town respectively,0
